rank,id,name,category,tier,source_surface,requires_gpu,competitor_validation_0_100,estimated_customer_benefit_pct,business_value_0_100,weighted_score_0_100,top_80,uncertainty,capability_family,competitor_evidence_band,score_rationale
26,motion-event-clip-export,Motion Event Clip Export,Security & Access,enterprise,protect,False,90,50,80,72.0,yes,Low,evidence_management,direct,"evidence management; competitor evidence=direct; estimated reach=50% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
27,access-after-hours-unlock-report,After-Hours Unlock Command Report,Security & Access,pro,access,False,82,46,88,71.8,yes,Low,access_control_workflow,direct,"access control workflow; competitor evidence=direct; estimated reach=46% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
28,after-hours-entry-verification,After-Hours Entry Verification,Security & Access,pro,vision,True,92,34,92,71.7,yes,Low,access_video_correlation,direct,"access video correlation; competitor evidence=direct; estimated reach=34% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
29,access-evidence-package,Access Event Evidence Package,Security & Access,enterprise,vision,True,92,38,88,71.5,yes,High,access_video_correlation,direct,"access video correlation; competitor evidence=direct; estimated reach=38% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
30,clip-export-index,Clip Export Search Index,Intelligence,enterprise,protect,False,90,48,80,71.3,yes,Low,evidence_management,direct,"evidence management; competitor evidence=direct; estimated reach=48% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
31,access-close-confirmation-gap,Door Close Event Gap Review,Security & Access,pro,access,False,82,42,89,70.8,yes,High,access_control_workflow,direct,"access control workflow; competitor evidence=direct; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
32,rtsp-blur-score,RTSP Blur Score Monitor,Property & Liability,pro,protect,True,90,52,75,70.7,yes,High,camera_image_health,direct,"camera image health; competitor evidence=direct; estimated reach=52% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
33,access-audited-unlock-request,Audited Door Unlock Request,Security & Access,enterprise,access,False,82,40,90,70.5,yes,Low,access_control_workflow,direct,"access control workflow; competitor evidence=direct; estimated reach=40% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
34,access-door-alarm-recurrence,Door Alarm Recurrence Summary,Security & Access,pro,access,False,82,43,87,70.35,yes,Low,access_control_workflow,direct,"access control workflow; competitor evidence=direct; estimated reach=43% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
35,wrong-way,Wrong-Way Movement,People & Safety,starter,vision,True,92,34,88,70.1,yes,Low,tailgating_direction,direct,"tailgating direction; competitor evidence=direct; estimated reach=34% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
36,clip-export-daily-manifest,Clip Export Daily Manifest,Compliance,enterprise,protect,False,90,42,82,70.0,yes,Low,evidence_management,direct,"evidence management; competitor evidence=direct; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
37,gate-tailgate-storage,Rapid Gate-Crossing Review,Security & Access,starter,vision,True,92,45,78,69.95,yes,High,tailgating_direction,direct,"tailgating direction; competitor evidence=direct; estimated reach=45% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
38,visitor-entry-review,Visitor Entry Review Context,Security & Access,starter,vision,True,92,38,84,69.9,yes,Low,access_video_correlation,direct,"access video correlation; competitor evidence=direct; estimated reach=38% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
39,footfall-counter,Footfall & Occupancy Counter,Retail & QSR,starter,vision,True,94,48,74,69.9,yes,Low,occupancy_counting,direct,"occupancy counting; competitor evidence=direct; estimated reach=48% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
40,forecourt-loiter,Forecourt Dwell Watch,Security & Access,starter,vision,True,94,36,84,69.7,yes,Low,loitering_intrusion,direct,"loitering intrusion; competitor evidence=direct; estimated reach=36% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
41,clip-export-queue,Clip Export Queue,Intelligence,enterprise,protect,False,90,48,76,69.7,yes,Low,evidence_management,direct,"evidence management; competitor evidence=direct; estimated reach=48% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
42,safety-zone-breach,Restricted-Zone Person Presence,Manufacturing & Warehouse,enterprise,vision,True,94,24,94,69.5,yes,Low,loitering_intrusion,direct,"loitering intrusion; competitor evidence=direct; estimated reach=24% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
43,supply-theft-watch,After-Hours Supply-Zone Activity,Security & Access,starter,vision,True,94,32,87,69.5,yes,Low,loitering_intrusion,direct,"loitering intrusion; competitor evidence=direct; estimated reach=32% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
44,queue-length,Queue Length Monitor,Retail & QSR,pro,vision,True,94,40,80,69.5,yes,Low,occupancy_counting,direct,"occupancy counting; competitor evidence=direct; estimated reach=40% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
45,door-propped,Door-Zone Baseline Change,Property & Liability,starter,vision,True,78,45,84,68.85,yes,High,perimeter_object_analytics,adjacent,"perimeter object analytics; competitor evidence=adjacent; estimated reach=45% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
46,door-operation-verification,Door Operation Verification,Security & Access,pro,vision,True,92,32,86,68.6,yes,Low,access_video_correlation,direct,"access video correlation; competitor evidence=direct; estimated reach=32% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
47,access-remote-unlock-ledger,Remote Unlock Event Ledger,Compliance,pro,access,False,82,40,85,68.5,yes,Low,access_control_workflow,direct,"access control workflow; competitor evidence=direct; estimated reach=40% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
48,occupancy-reconciliation,Occupancy Reconciliation,Security & Access,pro,vision,True,92,30,84,67.1,yes,High,access_video_correlation,direct,"access video correlation; competitor evidence=direct; estimated reach=30% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
49,tenant-after-hours,Per-Tenant After-Hours Watch,Security & Access,pro,vision,True,94,28,83,66.5,yes,Low,loitering_intrusion,direct,"loitering intrusion; competitor evidence=direct; estimated reach=28% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
50,crane-exclusion,Crane Exclusion-Zone Presence Alert,People & Safety,enterprise,vision,True,94,12,95,65.7,yes,Low,loitering_intrusion,direct,"loitering intrusion; competitor evidence=direct; estimated reach=12% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
51,lot-occupancy,Parking Lot Occupancy,Automotive & Parking,starter,vision,True,94,38,72,65.6,yes,Low,occupancy_counting,direct,"occupancy counting; competitor evidence=direct; estimated reach=38% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
52,access-door-alarm-duration-ledger,Door Alarm Duration Ledger,Compliance,pro,access,False,82,35,80,64.75,yes,Low,access_control_workflow,direct,"access control workflow; competitor evidence=direct; estimated reach=35% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
53,forklift-speed,Shared-Lane Vehicle Motion Alert,Manufacturing & Warehouse,pro,vision,True,90,14,91,63.8,yes,High,ppe_safety,direct,"ppe safety; competitor evidence=direct; estimated reach=14% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
54,protect-camera-discovery-failure-log,Protect Camera Discovery Failure Log,Security & Access,pro,protect,False,72,60,62,63.8,yes,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=60% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
55,protect-event-poll-health,Protect Event Poll Health,Security & Access,pro,protect,False,72,58,62,63.1,yes,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=58% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
56,overnight-parking,Overnight Parking Watch,Automotive & Parking,starter,vision,True,86,34,74,63.0,yes,Low,vehicle_parking,direct,"vehicle parking; competitor evidence=direct; estimated reach=34% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
57,rtsp-decode-error-rate,RTSP Decode Error Rate,Security & Access,pro,protect,True,72,55,62,62.05,yes,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=55% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
58,customer-wait-alert,Service-Zone Dwell Alert,Retail & QSR,starter,vision,True,88,25,78,61.95,yes,High,dwell_flow_bi,direct,"dwell flow bi; competitor evidence=direct; estimated reach=25% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
59,lighting-outage,Low-Luminance Lighting Watch,Property & Liability,starter,vision,True,90,35,68,61.95,yes,High,camera_image_health,direct,"camera image health; competitor evidence=direct; estimated reach=35% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
60,snapshot-last-good-frame,Last Good Frame Snapshot,Security & Access,pro,protect,True,78,35,72,60.55,yes,Medium,vms_evidence_support,adjacent,"vms evidence support; competitor evidence=adjacent; estimated reach=35% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
61,drive-thru-timer,Drive-Thru Service Timer,Retail & QSR,pro,vision,True,88,18,80,60.3,yes,High,dwell_flow_bi,direct,"dwell flow bi; competitor evidence=direct; estimated reach=18% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
62,rtsp-frame-gap-watch,RTSP Frame Gap Watch,Security & Access,pro,protect,True,72,50,62,60.3,yes,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=50% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
63,rtsp-rolling-quality-digest,RTSP Rolling Quality Digest,Intelligence,pro,protect,True,72,50,62,60.3,yes,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=50% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
64,pool-capacity,Pool-Area Person Count,People & Safety,starter,vision,True,94,10,82,59.8,yes,Low,occupancy_counting,direct,"occupancy counting; competitor evidence=direct; estimated reach=10% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
65,curbside-arrival,Curbside Pickup Arrival,Automotive & Parking,starter,vision,True,86,24,74,59.5,yes,Low,vehicle_parking,direct,"vehicle parking; competitor evidence=direct; estimated reach=24% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
66,aggression-posture,Raised-Arm Motion Review,People & Safety,enterprise,vision,True,70,25,82,59.05,yes,High,perimeter_object_analytics,adjacent,"perimeter object analytics; competitor evidence=adjacent; estimated reach=25% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
67,truck-turn-time,Truck Yard Dwell Estimate,Manufacturing & Warehouse,pro,vision,True,88,14,80,58.9,yes,Low,dwell_flow_bi,direct,"dwell flow bi; competitor evidence=direct; estimated reach=14% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
68,dwell-analytics,Zone Dwell Analytics,Retail & QSR,pro,vision,True,88,30,66,58.9,yes,Low,dwell_flow_bi,direct,"dwell flow bi; competitor evidence=direct; estimated reach=30% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
69,conveyor-jam,Conveyor Stalled-Object Review,Manufacturing & Warehouse,pro,vision,True,86,10,84,58.6,yes,Low,perimeter_object_analytics,direct,"perimeter object analytics; competitor evidence=direct; estimated reach=10% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
70,child-safety-zone,Small-Person Restricted-Zone Alert,People & Safety,pro,vision,True,68,10,94,58.1,yes,High,perimeter_object_analytics,adjacent,"perimeter object analytics; competitor evidence=adjacent; estimated reach=10% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
71,bus-loop-safety,Bus Loop Safety,People & Safety,starter,vision,True,74,8,92,58.1,yes,Medium,ppe_safety,adjacent,"ppe safety; competitor evidence=adjacent; estimated reach=8% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
72,machine-monopoly,Machine-Row Dwell Watch,Retail & QSR,starter,vision,True,88,30,64,58.1,yes,Low,dwell_flow_bi,direct,"dwell flow bi; competitor evidence=direct; estimated reach=30% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
73,atm-vestibule-watch,ATM Vestibule Watch,Security & Access,pro,vision,True,82,18,78,58.0,yes,Medium,loitering_intrusion,adjacent,"loitering intrusion; competitor evidence=adjacent; estimated reach=18% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
74,waiting-room-overflow,Waiting Room Overflow,Healthcare & Senior Living,starter,vision,True,94,9,78,57.85,yes,Low,occupancy_counting,direct,"occupancy counting; competitor evidence=direct; estimated reach=9% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
75,magnet-crane-exclusion,Magnet-Crane Exclusion-Zone Alert,People & Safety,enterprise,vision,True,72,5,95,57.75,yes,Medium,loitering_intrusion,adjacent,"loitering intrusion; competitor evidence=adjacent; estimated reach=5% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
76,ev-charger-blocked,EV Charger Blocked,Automotive & Parking,starter,vision,True,92,25,65,57.75,yes,Low,object_left_blocked,direct,"object left blocked; competitor evidence=direct; estimated reach=25% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
77,splash-pad-capacity,Splash Pad Capacity,People & Safety,starter,vision,True,94,4,82,57.7,yes,Low,occupancy_counting,direct,"occupancy counting; competitor evidence=direct; estimated reach=4% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
78,laundromat-overnight,Laundromat Overnight Watch,Security & Access,starter,vision,True,94,8,78,57.5,yes,Low,loitering_intrusion,direct,"loitering intrusion; competitor evidence=direct; estimated reach=8% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
79,protect-camera-unnamed-records,Protect Unnamed Camera Records,Compliance,starter,protect,False,72,42,62,57.5,yes,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
80,protect-event-camera-reference-audit,Protect Event Camera Reference Audit,Compliance,pro,protect,False,72,42,62,57.5,yes,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
81,protect-event-duplicate-id-audit,Protect Duplicate Event ID Audit,Compliance,pro,protect,False,72,42,62,57.5,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
82,protect-event-order-anomaly,Protect Event Order Anomaly,Compliance,pro,protect,False,72,42,62,57.5,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
83,protect-rtsp-availability-delta,Protect RTSP Availability Delta,Compliance,pro,protect,False,72,42,62,57.5,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
84,protect-rtsp-enable-audit,Protect RTSP Enablement Audit,Compliance,starter,protect,False,72,42,62,57.5,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
85,rtsp-focus-zone-sharpness,RTSP Focus-Zone Sharpness,Compliance,pro,protect,True,72,42,62,57.5,no,Medium,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
86,protect-event-camera-coverage,Protect Event Camera Coverage,Compliance,pro,protect,False,72,42,62,57.5,no,High,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
87,protect-stream-profile-drift,Protect Stream Profile Drift,Compliance,pro,protect,False,72,42,62,57.5,no,High,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
88,rtsp-resolution-drift,RTSP Resolution Drift,Compliance,pro,protect,True,72,42,62,57.5,no,High,camera_stream_health,adjacent,"camera stream health; competitor evidence=adjacent; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
89,shelf-stockout,Shelf Stockout Alert,Retail & QSR,enterprise,vision,True,78,17,80,57.45,no,High,retail_operations,adjacent,"retail operations; competitor evidence=adjacent; estimated reach=17% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
90,dock-utilization,Dock Door Utilization,Manufacturing & Warehouse,pro,vision,True,88,16,74,57.2,no,Low,dwell_flow_bi,direct,"dwell flow bi; competitor evidence=direct; estimated reach=16% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
91,cart-path-violation,Cart Path Violation,Property & Liability,starter,vision,True,78,30,68,57.2,no,Medium,vms_evidence_support,adjacent,"vms evidence support; competitor evidence=adjacent; estimated reach=30% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
92,hall-pass-monitor,Hall Pass Monitor,People & Safety,pro,vision,True,58,28,82,57.1,no,High,vertical_visual_workflow,adjacent,"vertical visual workflow; competitor evidence=adjacent; estimated reach=28% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
93,nap-room-check,Nap-Room Motion Check,People & Safety,pro,vision,True,58,28,82,57.1,no,High,vertical_visual_workflow,adjacent,"vertical visual workflow; competitor evidence=adjacent; estimated reach=28% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
94,seal-check,Trailer Rear-State Change,Manufacturing & Warehouse,enterprise,vision,True,74,30,70,57.0,no,High,industrial_operations,adjacent,"industrial operations; competitor evidence=adjacent; estimated reach=30% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
95,rtsp-low-contrast-watch,RTSP Low Contrast Watch,Property & Liability,pro,protect,True,90,30,60,57.0,no,Low,camera_image_health,direct,"camera image health; competitor evidence=direct; estimated reach=30% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
96,rtsp-overexposed-frame-rate,RTSP Overexposed Frame Rate,Property & Liability,pro,protect,True,90,30,60,57.0,no,Low,camera_image_health,direct,"camera image health; competitor evidence=direct; estimated reach=30% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
